Scrip Code,COMPANY,ISIN No.,Close Price,IndexName
543664,KAYNES TECHNOLOGY INDIA LIMITE,INE918Z01012,5863.3,BSE 150 MidCap Indexindex
517569,KEI INDUSTRIES LTD.,INE878B01027,3784.9,BSE 150 MidCap Indexindex
542651,KPIT Technologies Ltd,INE04I401011,1267.25,BSE 150 MidCap Indexindex
533519,L&T Finance Limited,INE498L01015,202.95,BSE 150 MidCap Indexindex
540115,L&T Technology Services Limite,INE010V01017,4384.65,BSE 150 MidCap Indexindex
500253,LIC HOUSING FINANCE LTD.,INE115A01026,612.35,BSE 150 MidCap Indexindex
523457,Linde India Limited,INE473A01011,6654.8,BSE 150 MidCap Indexindex
512455,LLOYDS METALS AND ENERGY LTD.,INE281B01032,1547.95,BSE 150 MidCap Indexindex
500257,LUPIN LTD.,INE326A01037,1936.9,BSE 150 MidCap Indexindex
532720,MAHINDRA & MAHINDRA FINANCIAL,INE774D01024,272.65,BSE 150 MidCap Indexindex
531642,MARICO LTD.,INE196A01026,731.05,BSE 150 MidCap Indexindex
500271,Max Financial Services Limited,INE180A01020,1641.45,BSE 150 MidCap Indexindex
543237,Mazagon Dock Shipbuilders Limi,INE249Z01020,3169.5,BSE 150 MidCap Indexindex
543426,Metro Brands Limited,INE317I01021,1136.1,BSE 150 MidCap Indexindex
532892,MOTILAL OSWAL FINANCIAL SERVIC,INE338I01027,855.4,BSE 150 MidCap Indexindex
526299,MPHASIS LTD.,INE356A01018,2799.8,BSE 150 MidCap Indexindex
500290,MRF LTD.,INE883A01011,143427.55,BSE 150 MidCap Indexindex
533398,MUTHOOT FINANCE LTD.,INE414G01012,2569.3,BSE 150 MidCap Indexindex
532234,NATIONAL ALUMINIUM CO.LTD.,INE139A01034,190.9,BSE 150 MidCap Indexindex
533098,NHPC LTD.,INE848E01016,85.64,BSE 150 MidCap Indexindex
540767,NIPPON LIFE INDIA ASSET MANAGE,INE298J01013,783.25,BSE 150 MidCap Indexindex
